"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","PROKKA_11072017","PROKKA_11072017_DJ","PROKKA_11162017"
"group_1000","","hypothetical protein","3","3","1","5","3809","","","","185","185","185","vin_ca_01866","vin_dj_01865","vin01_02588"
"group_1001","","hypothetical protein","3","3","1","5","3808","","","","608","608","608","vin_ca_01867","vin_dj_01866","vin01_02587"
"acn","","Aconitate hydratase A","3","3","1","5","3802","","","","2687","2687","2687","vin_ca_01871","vin_dj_01870","vin01_02581"
"rlmM","","Ribosomal RNA large subunit methyltransferase M","3","3","1","5","3801","","","","1058","1061","1060","vin_ca_01872","vin_dj_01871","vin01_02580"
"tusA_1","","Sulfurtransferase TusA","3","3","1","5","3800","","","","257","257","257","vin_ca_01873","vin_dj_01872","vin01_02579"
"tyrB","","Aromatic-amino-acid aminotransferase","3","3","1","5","3798","","","","1196","1196","1196","vin_ca_01876","vin_dj_01875","vin01_02576"
"uvrB","","UvrABC system protein B","3","3","1","5","45","","","","2009","2009","2009","vin_ca_01877","vin_dj_01876","vin01_02575"
"gltX","","Glutamate--tRNA ligase","3","3","1","5","46","","","","1481","1481","1481","vin_ca_01878","vin_dj_01877","vin01_02574"
"group_1008","","Oxaloacetate decarboxylase","3","3","1","5","48","","","","863","866","864","vin_ca_01880","vin_dj_01879","vin01_02573"
"pcaR_1","","Pca regulon regulatory protein","3","3","1","5","54","","","","767","767","767","vin_ca_01886","vin_dj_01885","vin01_02569"
"aroE_3","","Shikimate dehydrogenase (NADP( ))","3","3","1","5","55","","","","809","809","809","vin_ca_01887","vin_dj_01886","vin01_02568"
"group_1011","","hypothetical protein","3","3","1","5","58","","","","320","320","320","vin_ca_01889","vin_dj_01888","vin01_02566"
"group_1012","","hypothetical protein","3","3","1","5","68","","","","326","326","326","vin_ca_01899","vin_dj_01898","vin01_02564"
"thrS_1","","Threonine--tRNA ligase","3","3","1","5","79","","","","1922","1922","1922","vin_ca_01907","vin_dj_01906","vin01_02556"
"infC","","Translation initiation factor IF-3","3","3","1","5","80","","","","533","533","533","vin_ca_01908","vin_dj_01907","vin01_02555"
"pheS","","Phenylalanine--tRNA ligase alpha subunit","3","3","1","5","83","","","","1016","1016","1016","vin_ca_01911","vin_dj_01910","vin01_02552"
"pheT","","Phenylalanine--tRNA ligase beta subunit","3","3","1","5","84","","","","2378","2378","2378","vin_ca_01912","vin_dj_01911","vin01_02551"
"acxA","","Acetone carboxylase beta subunit","3","3","1","5","7417","","","","2153","2153","2153","vin_ca_01955","vin_dj_01954","vin01_02536"
"acxB","","Acetone carboxylase alpha subunit","3","3","1","5","7416","","","","2318","2318","2318","vin_ca_01956","vin_dj_01955","vin01_02535"
"acxC","","Acetone carboxylase gamma subunit","3","3","1","5","7415","","","","506","506","506","vin_ca_01957","vin_dj_01956","vin01_02534"
"cysE_2","","Serine acetyltransferase","3","3","1","5","7411","","","","983","983","983","vin_ca_01961","vin_dj_01960","vin01_02526"
"group_1021","","hypothetical protein","3","3","1","5","7402","","","","1169","1190","1176","vin_ca_01970","vin_dj_01969","vin01_02517"
"allA","","Ureidoglycolate lyase","3","3","1","5","7393","","","","500","500","500","vin_ca_01971","vin_dj_01970","vin01_02516"
"alc","","allantoicase","3","3","1","5","7392","","","","995","998","996","vin_ca_01972","vin_dj_01971","vin01_02515"
"uao","","Uric acid degradation bifunctional protein","3","3","1","5","7385","","","","515","515","515","vin_ca_01973","vin_dj_01972","vin01_02508"
"pgdA","","Peptidoglycan deacetylase","3","3","1","5","7384","","","","929","929","929","vin_ca_01974","vin_dj_01973","vin01_02507"
"pucM","","5-hydroxyisourate hydrolase","3","3","1","5","7383","","","","350","350","350","vin_ca_01975","vin_dj_01974","vin01_02506"
"ssuA_5","","Putative aliphatic sulfonates-binding protein","3","3","1","5","1042","","","","929","935","933","vin_ca_02025","vin_dj_02024","vin01_04531"
"ntaA_2","","Nitrilotriacetate monooxygenase component A","3","3","1","5","1044","","","","1328","1328","1328","vin_ca_02027","vin_dj_02026","vin01_04529"
"gntR_2","","HTH-type transcriptional regulator GntR","3","3","1","5","1081","","","","1043","1043","1043","vin_ca_02032","vin_dj_02031","vin01_04527"
"eno_1","","Enolase","3","3","1","5","7377","","","","1313","1313","1313","vin_ca_02071","vin_dj_02070","vin01_02309"
"mmgA","","Acetyl-CoA acetyltransferase","3","3","1","5","7379","","","","1178","1178","1178","vin_ca_02073","vin_dj_02072","vin01_02502"
"group_1032","","hypothetical protein","3","3","1","5","272","","","","842","842","842","vin_ca_02076","vin_dj_02075","vin01_02499"
"pucD","","putative xanthine dehydrogenase subunit D","3","3","1","5","271","","","","2393","2441","2409","vin_ca_02077","vin_dj_02076","vin01_02498"
"group_1034","","Adenine deaminase","3","3","1","5","269","","","","947","947","947","vin_ca_02079","vin_dj_02078","vin01_02496"
"yhdN_1","","General stress protein 69","3","3","1","5","265","","","","1040","1040","1040","vin_ca_02086","vin_dj_02085","vin01_02495"
"gntT","","High-affinity gluconate transporter","3","3","1","5","256","","","","1352","1352","1352","vin_ca_02094","vin_dj_02093","vin01_02492"
"group_1037","","hypothetical protein","3","3","1","5","251","","","","311","314","313","vin_ca_02103","vin_dj_02102","vin01_02488"
"cobB_1","","NAD-dependent protein deacetylase","3","3","1","5","248","","","","848","848","848","vin_ca_02105","vin_dj_02104","vin01_02486"
"gstB_2","","Glutathione S-transferase GST-6.0","3","3","1","5","247","","","","605","605","605","vin_ca_02106","vin_dj_02105","vin01_02485"
"group_104","","putative 5-dehydro-4-deoxyglucarate dehydratase","3","3","1","5","6443","","","","911","911","911","vin_ca_00485","vin_dj_00485","vin01_03944"
"fhuA_1","","Ferrichrome-iron receptor","3","3","1","5","246","","","","2399","2402","2400","vin_ca_02107","vin_dj_02106","vin01_02484"
"fecI_7","","putative RNA polymerase sigma factor FecI","3","3","1","5","244","","","","524","524","524","vin_ca_02109","vin_dj_02108","vin01_02482"
"group_1042","","hypothetical protein","3","3","1","5","234","","","","518","584","540","vin_ca_02114","vin_dj_02113","vin01_02477"
"ctpC","","putative manganese/zinc-exporting P-type ATPase","3","3","1","5","233","","","","2159","2168","2162","vin_ca_02115","vin_dj_02114","vin01_02476"
"feoA","","Fe(2 ) transport protein A","3","3","1","5","232","","","","227","227","227","vin_ca_02116","vin_dj_02115","vin01_02475"
"dps2","","DNA protection during starvation protein 2","3","3","1","5","228","","","","494","494","494","vin_ca_02120","vin_dj_02119","vin01_02469"
"btuB_3","","Vitamin B12 transporter BtuB","3","3","1","5","219","","","","2036","2036","2036","vin_ca_02126","vin_dj_02125","vin01_02463"
"dksA_1","","RNA polymerase-binding transcription factor DksA","3","3","1","5","208","","","","404","404","404","vin_ca_02137","vin_dj_02136","vin01_02441"
